FIPS,State_abv,County_Name,oil_change_group,gas_change_group,oil_gas_change_group,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,citizens,citizensOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,prienv,prienvOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,tot_pop,pop_under5,pop_5to9,pop_10to14,pop_15to19,pop_20to24,pop_25to34,pop_35to44,pop_45to54,pop_55to59,pop_60to64,pop_65to74,pop_75to84,pop_85+,gas,oil,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,Economic_Type_Label,Farming_2015_Update,Mining_2015-Update,Manufacturing_2015_Update,Government_2015_Update,Recreation_2015_Update,Nonspecialized_2015_Update,Low_Education_2015_Update,Low_Employment_Cnty_2008_2012_25_64,Pop_Loss_2010,Retirement_Dest_2015_Update,Persistent_Poverty_2013,Persistent_Related_Child_Poverty_2013,Region,pct_und5,pct_5to9,pct_10to14,pct_15to19,pct_20to24,pct_youth,oil_producer,gas_producer
1021,AL,Chilton County,Status Quo,Status Quo,Status Quo,56.407,22.941,45.861,39.974,34.411,35.177,48.013,8.123,46.502,53.454,57.993,28.472,56.555,29.098,50.247,33.064,49.181,37.903,33.655,53.589,40.324,59.676,79.325,17.349,69.813,27.16,58.082,40.094,56.649,39.748,53.356,44.838,76.696,20.114,39.704,55.125,63.837,32.951,70.024,29.753,57.39,15.527,53.848,16.972,50.453,22.667,47.869,18.709,48.461,18.409,63.398,33.204,26.733,73.143,18.112,80.717,43817,2867,2919,3018,2628,2650,5829,5879,5662,3208,2475,4011,2095,576,0,0,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0,South,0.06543122532350458,0.06661797932309378,0.06887737636077322,0.059976721363854214,0.060478809594449644,0.32138211196567545,non_producer_oil,non_producer_gas
1023,AL,Choctaw County,Status Quo,Status Quo,Status Quo,65.696,13.108,50.755,37.577,40.329,27.489,55.637,6.084,54.968,44.974,63.627,19.184,61.73,19.421,56.131,23.472,54.705,28.484,39.773,43.335,48.91,51.09,81.664,15.508,75.004,21.694,66.727,31.087,65.337,30.579,60.21,37.995,79.645,17.173,35.243,60.59,56.685,39.824,77.933,21.506,63.413,12.586,60.066,13.516,59.043,15.898,56.468,13.453,56.943,13.708,68.425,27.876,27.53,72.401,15.673,82.719,13287,648,678,900,825,788,1286,1509,1929,1080,887,1602,861,294,326952,372512,0,3,Maufacturing,0,0,1,0,0,0,0,1,1,0,1,1,South,0.048769473921878526,0.051027319936780315,0.06773538044705352,0.062090765409799055,0.05930608865808685,0.28892902837359824,oil_producer,gas_producer
1025,AL,Clarke County,Status Quo,Status Quo,Status Quo,64.957,12.596,49.795,38.044,38.829,26.796,54.144,5.777,55.216,44.752,63.52,18.872,61.75,18.845,56.574,22.288,55.671,26.961,40.259,42.09,48.972,51.028,81.286,15.903,74.248,22.538,64.301,33.425,64.055,31.323,59.605,38.698,79.674,17.07,34.628,61.432,57.625,38.725,78.645,20.909,63.669,12.256,59.936,12.95,58.651,15.978,55.706,13.267,57.01,12.908,69.31,26.867,26.758,73.137,14.791,83.618,24847,1359,1467,1672,1700,1627,2640,3005,3536,1618,1735,2547,1399,542,43093,170611,0,3,Maufacturing,0,0,1,0,0,0,0,1,0,0,1,1,South,0.05469473175836117,0.05904133295770113,0.0672918259749668,0.06841872258220308,0.06548074214190848,0.31492735541514066,oil_producer,gas_producer
1027,AL,Clay County,Status Quo,Status Quo,Status Quo,56.306,21.93,44.408,42.488,32.645,36.056,47.606,8.394,45.971,53.93,56.754,27.892,55.044,28.4,48.556,33.245,47.52,38.199,32.787,53.09,40.096,59.904,78.754,18.143,69.8,26.889,57.239,40.597,56.694,39.562,53.144,45.086,76.094,20.561,42.539,52.695,64.178,32.602,69.181,30.306,57.168,16.23,54.006,17.754,49.87,23.178,47.452,19.185,48.67,18.728,62.854,33.576,25.128,74.75,17.031,81.651,13483,679,787,885,1034,652,1263,1707,1929,1013,918,1497,838,281,0,0,0,3,Maufacturing,0,0,1,0,0,0,1,1,0,0,0,0,South,0.050359712230215826,0.0583697990061559,0.06563821108062004,0.07668916413261144,0.04835719053623081,0.29941407698583405,non_producer_oil,non_producer_gas
1029,AL,Cleburne County,Status Quo,Status Quo,Status Quo,55.617,24.385,47.086,37.418,36.443,34.712,44.307,8.602,46.063,53.845,57.194,29.455,57.444,29.504,49.659,34.843,47.244,40.948,30.794,57.003,39.141,60.858,78.93,17.837,70.909,26.647,59.96,38.7,53.836,42.628,54.683,43.13,75.578,21.675,35.114,59.616,60.092,36.964,67.571,32.374,58.468,15.346,54.601,17.131,51.666,22.994,49.207,19.528,46.769,20.646,62.082,34.372,27.918,72.032,17.823,81.197,14991,911,980,1057,867,810,1608,1955,2113,1043,924,1615,795,313,0,0,0,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,0,0,South,0.06076979521045961,0.0653725568674538,0.0705089720498966,0.057834700820492295,0.054032419451671004,0.30851844439997334,non_producer_oil,non_producer_gas
1031,AL,Coffee County,Status Quo,Status Quo,Status Quo,59.447,21.464,46.245,39.936,35.705,35.839,48.606,8.112,47.145,52.88,59.091,27.62,57.751,28.323,51.662,31.8,49.358,37.938,33.322,53.719,41.312,58.688,79.276,17.911,70.213,26.985,59.413,38.81,56.3,39.846,55.659,42.77,76.743,20.378,39.28,55.975,62.712,34.38,70.493,29.124,60.159,15.292,56.887,16.79,52.944,23.181,50.456,18.457,49.744,18.574,64.192,32.667,27.907,72.044,18.747,79.93,50991,3168,3305,3472,3351,3081,6419,6875,6952,3445,2875,4583,2666,799,0,0,0,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0,South,0.062128610931340825,0.06481535957325803,0.06809044733384323,0.06571747955521563,0.060422427487203625,0.32117432488086134,non_producer_oil,non_producer_gas
1033,AL,Colbert County,Status Quo,Status Quo,Status Quo,60.677,19.19,47.543,40.038,36.862,34.181,49.618,7.726,49.349,50.645,60.056,24.866,59.613,24.276,52.042,29.935,49.238,36.627,34.097,52.085,42.187,57.813,80.871,16.847,73.169,24.022,59.479,38.408,58.492,37.214,57.169,41.5,79.214,17.844,39.776,56.79,62.23,35.048,72.331,27.227,62.516,14.387,57.108,15.855,54.806,20.524,51.084,17.411,51.297,17.091,65.403,31.102,26.751,73.235,16.596,81.919,54377,3083,3285,3250,3311,3177,6459,6572,7508,3977,3721,5726,3209,1099,0,0,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0,South,0.05669676517645328,0.06041157106865035,0.05976791658237858,0.06088971440130938,0.05842543722529746,0.29619140445408904,non_producer_oil,non_producer_gas
1035,AL,Conecuh County,H_Growth,H_Growth,H_Growth,62.173,13.924,47.649,41.454,35.829,29.937,54.03,6.444,51.844,48.18,60.43,20.384,58.121,20.338,52.926,24.386,51.76,29.173,37.893,42.872,46.47,53.53,80.509,17.306,74.28,22.285,63.814,33.443,64.371,31.094,59.467,39.064,79.592,17.061,40.622,55.797,61.107,35.495,76.457,22.61,61.067,13.459,57.251,14.725,56.188,16.777,54.347,14.202,56.391,14.076,67.566,28.579,23.633,76.304,13.653,84.565,12697,783,919,635,747,805,1254,1380,1705,1022,874,1553,754,266,4078749,3294092,0,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,1,1,South,0.061668110577301725,0.07237930219736946,0.05001181381428684,0.058832795148460265,0.06340080333937151,0.3062928250767898,oil_producer,gas_producer
1037,AL,Coosa County,Status Quo,Status Quo,Status Quo,62.615,15.299,48.873,38.647,37.997,28.957,52.739,6.601,52.717,47.17,61.761,21.425,59.873,21.849,54.19,25.782,53.38,30.502,38.167,45.802,46.483,53.517,80.647,16.162,72.798,23.82,63.564,34.271,62.365,33.64,57.36,40.754,78.079,18.579,36.545,58.899,58.759,37.626,75.893,23.7,61.577,13.527,58.458,14.415,56.336,17.959,53.305,15.091,54.18,14.957,66.939,29.278,26.961,72.9,16.257,82.275,10864,487,492,620,689,669,975,1522,1524,998,860,1244,540,244,0,0,0,3,Maufacturing,0,0,1,0,0,0,1,1,0,0,0,0,South,0.04482695139911635,0.04528718703976436,0.05706921944035346,0.06342047128129602,0.06157952871870398,0.2721833578792342,non_producer_oil,non_producer_gas
1039,AL,Covington County,Status Quo,Status Quo,Status Quo,57.58,22.306,45.662,40.076,35.311,35.645,46.455,8.37,47.048,52.841,57.492,27.786,56.473,27.746,49.56,33.597,47.731,39.28,31.974,54.757,39.463,60.538,79.446,17.602,70.883,26.365,57.505,40.828,54.637,41.488,54.085,44.141,75.773,21.291,38.947,55.939,63.414,33.63,68.971,30.811,58.807,15.51,55.031,17.121,51.422,22.977,48.161,19.18,47.994,19.038,63.021,33.529,26.819,73.116,17.261,81.627,37729,2196,2268,2401,2168,2204,4234,4266,5081,2655,2643,4150,2606,857,0,49898,0,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,1,South,0.0582045641283893,0.060112910493254526,0.06363805030613057,0.057462429430941715,0.05841660261337433,0.29783455697209044,oil_producer,non_producer_gas
1041,AL,Crenshaw County,Status Quo,Status Quo,Status Quo,61.15,17.446,48.174,38.962,37.139,31.2,51.135,7.105,50.872,49.029,60.83,23.529,59.169,23.966,53.083,28.211,52.043,33.224,36.447,48.94,44.478,55.522,80.407,16.308,72.051,24.738,61.505,36.514,60.301,35.812,56.078,42.07,77.671,19.077,37.183,58.052,60.172,36.377,73.738,25.93,60.906,14.228,57.709,15.173,54.662,19.772,51.43,16.374,52.103,16.128,65.818,30.569,27.369,72.492,17.131,81.518,13896,828,892,907,992,726,1487,1731,1943,1130,827,1435,700,298,0,0,0,3,Maufacturing,0,0,1,0,0,0,0,0,0,0,0,1,South,0.05958549222797927,0.06419113413932066,0.06527058146229131,0.07138744962579159,0.05224525043177893,0.31267990788716177,non_producer_oil,non_producer_gas
1043,AL,Cullman County,Status Quo,Status Quo,Status Quo,51.425,27.144,43.084,42.112,32.375,38.147,44.442,9.348,42.045,57.979,54.816,33.008,53.16,34.541,46.561,39.006,45.397,43.586,29.436,59.029,36.7,63.3,77.687,19.252,67.668,29.566,54.716,43.576,52.244,44.01,51.871,46.515,75.998,20.925,42.994,52.066,65.485,31.633,66.186,33.532,55.122,17.819,52.276,19.072,47.559,28.378,45.978,21.411,45.954,21.327,61.216,35.517,25.313,74.584,18.931,79.873,81316,4902,4641,5608,4905,4937,9752,10077,11264,5590,5205,8638,4463,1334,0,0,0,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0,South,0.0602833390722613,0.05707363864430125,0.06896551724137931,0.06032023218062866,0.06071375866988046,0.307356485808451,non_producer_oil,non_producer_gas
1045,AL,Dale County,Status Quo,Status Quo,Status Quo,59.409,20.686,47.039,39.726,35.979,34.526,48.852,7.932,48.541,51.399,58.649,27.392,57.726,27.312,51.272,31.97,49.067,37.593,33.542,52.938,41.487,58.513,80.302,16.997,71.687,25.435,59.915,38.226,56.942,38.266,55.461,42.874,77.771,19.238,39.074,56.531,60.692,36.339,70.275,29.226,59.766,14.991,56.011,16.758,53.168,21.265,50.733,17.882,50.459,18.396,64.345,32.349,27.678,72.299,17.436,81.237,49607,3267,2854,3594,3266,3263,7164,6042,6325,3609,2569,4443,2399,812,0,0,0,3,Maufacturing,0,0,1,1,0,0,0,0,0,0,0,0,South,0.06585764105872155,0.05753220311649566,0.07244945269820792,0.06583748261334085,0.06577700727719878,0.3274537867639647,non_producer_oil,non_producer_gas
1047,AL,Dallas County,Status Quo,Status Quo,Status Quo,71.68,7.927,55.118,34.598,44.906,21.791,62.163,4.579,62.018,37.963,68.26,13.588,66.425,13.211,62.026,16.288,60.547,20.821,46.546,34.297,56.35,43.65,83.345,14.125,77.841,18.789,73.485,24.274,72.663,23.398,65.61,32.694,82.159,14.729,31.088,64.858,50.47,46.008,84.061,15.324,66.772,10.544,63.782,10.887,64.767,11.485,62.709,9.984,63.737,10.303,72.866,23.428,28.615,71.335,14.086,83.995,41426,2643,3065,2813,3074,2793,4819,4546,5411,3083,2685,3838,2105,551,0,0,0,3,Maufacturing,0,0,1,0,0,0,1,1,1,0,1,1,South,0.0638005117559021,0.0739873509390238,0.06790421474436344,0.07420460580311881,0.06742142615748564,0.34731810939989377,non_producer_oil,non_producer_gas
1049,AL,DeKalb County,Status Quo,Status Quo,Status Quo,57.467,23.393,46.39,39.71,34.38,35.134,47.196,8.714,46.834,53.035,57.093,28.415,56.225,28.664,49.139,33.974,47.449,39.491,32.233,55.004,40.145,59.855,78.589,17.683,69.828,26.659,58.155,39.99,54.696,40.778,52.836,44.679,75.828,20.602,41.175,53.85,61.731,34.326,68.753,31.027,57.675,16.497,55.195,18.12,52.318,23.701,48.386,20.215,47.764,20.257,62.262,34.296,27.286,72.628,17.554,81.265,70937,4339,4951,5203,4639,4365,8534,9349,9490,4438,4611,6636,3418,964,0,0,0,3,Maufacturing,0,0,1,0,0,0,1,1,0,0,0,0,South,0.061166950956482516,0.06979432454149456,0.07334677248826424,0.06539605565501783,0.061533473363688904,0.3312375770049481,non_producer_oil,non_producer_gas
1051,AL,Elmore County,Status Quo,Status Quo,Status Quo,59.115,20.639,47.142,40.291,36.355,34.309,49.299,7.866,48.329,51.628,59.176,26.806,57.734,27.084,51.416,31.54,49.613,36.952,33.792,52.832,41.625,58.375,79.541,17.641,71.512,25.521,58.845,39.236,58.409,37.97,55.513,42.979,77.597,19.395,39.773,56.09,62.483,34.519,70.644,28.881,59.097,15.138,56.017,16.434,52.151,21.873,49.935,17.712,50.636,17.553,64.637,32.129,27.514,72.424,18.112,80.555,80957,4766,5292,5215,5136,5598,10867,11296,11494,5674,4376,6969,3050,1224,0,0,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0,South,0.05887075855083563,0.06536803488271552,0.06441691268204108,0.06344108600862186,0.06914781921266845,0.32124461133688254,non_producer_oil,non_producer_gas
1053,AL,Escambia County,H_Decline,H_Decline,H_Decline,58.086,17.87,46.594,41.179,33.451,33.418,48.888,7.459,48.44,51.521,58.258,24.217,56.199,24.966,50.803,28.792,49.223,34.088,35.064,48.158,42.738,57.262,79.702,17.871,72.343,24.42,59.883,37.753,60.002,35.921,55.544,42.884,77.526,19.293,41.696,54.379,62.228,34.637,72.488,26.75,58.599,15.162,54.866,16.625,52.664,20.557,50.601,16.941,51.988,16.869,64.877,31.526,24.096,75.838,14.971,83.454,37875,2258,2445,2323,2535,2552,4466,4862,5345,2536,2244,3623,1955,731,19816843,2371492,0,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,1,1,South,0.05961716171617162,0.06455445544554456,0.06133333333333333,0.06693069306930693,0.06737953795379538,0.3198151815181518,oil_producer,gas_producer
1055,AL,Etowah County,Status Quo,Status Quo,Status Quo,58.639,20.22,46.27,40.45,38.029,34.688,49.92,7.913,48.157,51.842,59.351,25.148,58.39,25.016,51.423,30.955,49.479,36.87,33.597,52.597,41.79,58.21,80.925,16.284,72.556,24.55,60.506,37.652,58.319,37.967,56.008,42.413,77.749,19.31,39.067,56.803,61.183,36,71.98,27.687,60.575,14.929,57.125,16.445,53.636,21.577,50.226,18.087,50.122,18.157,64.488,32.106,27.416,72.535,18.248,80.396,103363,5750,6054,6709,6584,6570,11838,13464,14259,7835,6353,10558,5237,2152,0,0,1,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,0,South,0.05562919032922806,0.05857028143532986,0.06490717181196366,0.06369784158741523,0.0635623966022658,0.3063668817662026,non_producer_oil,non_producer_gas
1057,AL,Fayette County,Status Quo,Status Quo,Status Quo,56.682,21.606,45.505,40.869,33.771,35.763,46.09,8.292,46.488,53.424,57.355,28.289,56.21,28.654,49.473,33.333,48.022,38.626,32.575,54.102,39.928,60.072,79.345,17.516,70.158,26.915,57.947,40.244,55.831,40.496,54.056,44.14,76.34,20.547,39.615,55.131,63.22,33.655,68.952,30.721,57.987,15.685,54.62,17.168,50.879,22.702,48.606,18.996,48.465,18.872,62.967,33.504,26.099,73.796,17.54,81.295,16783,927,905,1007,1161,977,1797,2003,2313,1126,1286,1946,999,336,1078778,17242,0,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,0,South,0.055234463445152836,0.05392361318000358,0.060001191682059224,0.06917714353810403,0.05821366859321933,0.29655008043853903,oil_producer,gas_producer
1059,AL,Franklin County,Status Quo,Status Quo,Status Quo,58.383,20.758,47.94,38.855,36.124,33.402,48.941,7.945,49.057,50.839,59.491,26.942,58.275,27.458,51.606,32.044,50.335,37.171,34.328,53.318,41.681,58.319,79.896,16.586,71.311,25.569,60.386,37.815,57.969,38.473,54.245,43.744,76.688,20.144,37.974,57.001,61.208,35.455,71.593,28.319,60.042,15.224,56.991,16.373,52.283,22.714,48.881,18.367,48.997,18.472,64.072,32.501,27.78,72.076,18.653,80.169,31573,2101,2122,2180,1981,2261,3742,4131,4210,1956,1826,2992,1586,485,4621,0,0,3,Maufacturing,0,0,1,0,0,0,1,0,0,0,0,0,South,0.06654419915750799,0.06720932442276628,0.06904633706014633,0.06274348335603205,0.07161182022614258,0.3371551642225952,non_producer_oil,gas_producer
