term,records,mentions,obs_region,year,reg_tot_ments,term_year_reg_ment_perc
scriptory,0,0,Latin_America_and_the_Caribbean,2016,4,0
air,0,0,Europe,2018,0,0
bipont,0,0,Latin_America_and_the_Caribbean,2016,0,0
sonography,0,0,Latin_America_and_the_Caribbean,2016,0,0
susianian,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Europe,2019,0,0
arguendo,0,0,Latin_America_and_the_Caribbean,2016,2,0
unrevoked,0,0,Latin_America_and_the_Caribbean,2016,0,0
fragrance,0,0,Latin_America_and_the_Caribbean,2016,0,0
privatism,0,0,Latin_America_and_the_Caribbean,2016,0,0
acantha,0,0,Latin_America_and_the_Caribbean,2016,0,0
granophyric,0,0,Latin_America_and_the_Caribbean,2016,1,0
cistophoric,0,0,Latin_America_and_the_Caribbean,2016,0,0
unthinkingness,0,0,Latin_America_and_the_Caribbean,2016,0,0
cyanophycean,0,0,Latin_America_and_the_Caribbean,2016,1,0
adipogenic,4,4,Latin_America_and_the_Caribbean,2016,19,0.210526316
paleogenesis,0,0,Latin_America_and_the_Caribbean,2016,1,0
bracae,0,0,Latin_America_and_the_Caribbean,2016,0,0
hamuli,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Africa,2016,0,0
pertinent,0,0,Latin_America_and_the_Caribbean,2016,0,0
gunshots,3,4,Latin_America_and_the_Caribbean,2016,15,0.266666667
ingrafted,0,0,Latin_America_and_the_Caribbean,2016,5,0
muddleheaded,0,0,Latin_America_and_the_Caribbean,2016,1,0
zequin,0,0,Latin_America_and_the_Caribbean,2016,8,0
dharmakaya,1,5,Latin_America_and_the_Caribbean,2016,11,0.454545455
acopyrin,2,28,Latin_America_and_the_Caribbean,2016,29,0.965517241
spondylarthrocace,0,0,Latin_America_and_the_Caribbean,2016,0,0
thematic,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Africa,2017,0,0
air,0,0,Africa,2018,0,0
feoffs,0,0,Latin_America_and_the_Caribbean,2016,2,0
dbl,0,0,Latin_America_and_the_Caribbean,2016,0,0
inosilicate,0,0,Latin_America_and_the_Caribbean,2016,0,0
splitnew,0,0,Latin_America_and_the_Caribbean,2016,0,0
imprison,0,0,Latin_America_and_the_Caribbean,2016,0,0
antinormality,0,0,Latin_America_and_the_Caribbean,2016,0,0
micromeria,1,2,Latin_America_and_the_Caribbean,2016,8,0.25
grasslike,0,0,Latin_America_and_the_Caribbean,2016,0,0
sassiest,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Africa,2019,0,0
filmlike,11,15,Latin_America_and_the_Caribbean,2016,66,0.227272727
disconanthae,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Eurasia,2016,0,0
prepubis,0,0,Latin_America_and_the_Caribbean,2016,0,0
emitters,1,1,Latin_America_and_the_Caribbean,2016,18,0.055555556
coccygomorph,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Eurasia,2017,0,0
metapneumonic,0,0,Latin_America_and_the_Caribbean,2016,0,0
blobbed,0,0,Latin_America_and_the_Caribbean,2016,5,0
air,0,0,Eurasia,2018,0,0
chronothermometer,0,0,Latin_America_and_the_Caribbean,2016,1,0
subdeacons,0,0,Latin_America_and_the_Caribbean,2016,0,0
fleeceable,2,2,Latin_America_and_the_Caribbean,2016,10,0.2
rhotacism,0,0,Latin_America_and_the_Caribbean,2016,0,0
unsatiable,0,0,Latin_America_and_the_Caribbean,2016,1,0
licheniasis,1,1,Latin_America_and_the_Caribbean,2016,4,0.25
abterminal,1,1,Latin_America_and_the_Caribbean,2016,23,0.043478261
rapter,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Eurasia,2019,0,0
outhue,0,0,Latin_America_and_the_Caribbean,2016,0,0
widdled,29,38,Latin_America_and_the_Caribbean,2016,119,0.319327731
actinography,0,0,Latin_America_and_the_Caribbean,2016,1,0
venenosusi,0,0,Latin_America_and_the_Caribbean,2016,0,0
unsoulfully,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Latin_America_and_the_Caribbean,2016,0,0
unconfuted,2,3,Latin_America_and_the_Caribbean,2016,22,0.136363636
unfernlike,2,3,Latin_America_and_the_Caribbean,2016,61,0.049180328
abjudicate,0,0,Latin_America_and_the_Caribbean,2016,0,0
underate,0,0,Latin_America_and_the_Caribbean,2016,0,0
harpalus,15,17,Latin_America_and_the_Caribbean,2016,80,0.2125
reinvigoration,0,0,Latin_America_and_the_Caribbean,2016,0,0
platysomid,65,367,Latin_America_and_the_Caribbean,2016,1231,0.2981316
misdescription,0,0,Latin_America_and_the_Caribbean,2016,0,0
roughages,0,0,Latin_America_and_the_Caribbean,2016,0,0
doliidae,0,0,Latin_America_and_the_Caribbean,2016,0,0
wingmanship,7,9,Latin_America_and_the_Caribbean,2016,53,0.169811321
counterclassification,0,0,Latin_America_and_the_Caribbean,2016,0,0
ovularian,0,0,Latin_America_and_the_Caribbean,2016,0,0
tightest,0,0,Latin_America_and_the_Caribbean,2016,0,0
hyperlipoidemia,0,0,Latin_America_and_the_Caribbean,2016,32,0
marrowbone,0,0,Latin_America_and_the_Caribbean,2016,0,0
saunas,0,0,Latin_America_and_the_Caribbean,2016,0,0
proabstinence,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Latin_America_and_the_Caribbean,2017,0,0
comminution,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Latin_America_and_the_Caribbean,2018,0,0
downplay,0,0,Latin_America_and_the_Caribbean,2016,0,0
antinganting,0,0,Latin_America_and_the_Caribbean,2016,0,0
triobol,0,0,Latin_America_and_the_Caribbean,2016,0,0
emulatress,29,58,Latin_America_and_the_Caribbean,2016,275,0.210909091
galactosemia,0,0,Latin_America_and_the_Caribbean,2016,2,0
envassalage,0,0,Latin_America_and_the_Caribbean,2016,0,0
saccharocolloid,0,0,Latin_America_and_the_Caribbean,2016,2,0
boswell,0,0,Latin_America_and_the_Caribbean,2019,0,0
boswell,0,0,Global,2016,0,0
boswell,0,0,Global,2017,0,0
incrementally,0,0,Latin_America_and_the_Caribbean,2016,0,0
recking,1,1,Latin_America_and_the_Caribbean,2016,4,0.25
dioxime,0,0,Latin_America_and_the_Caribbean,2016,0,0
eurytomidae,0,0,Latin_America_and_the_Caribbean,2016,0,0
polistes,0,0,Latin_America_and_the_Caribbean,2016,0,0
ephippia,3,3,Latin_America_and_the_Caribbean,2016,20,0.15
agednesses,0,0,Latin_America_and_the_Caribbean,2016,0,0
explosions,1,1,Latin_America_and_the_Caribbean,2016,9,0.111111111
unsulphurized,0,0,Latin_America_and_the_Caribbean,2016,0,0
tribasilar,6,21,Latin_America_and_the_Caribbean,2016,44,0.477272727
pomada,0,0,Latin_America_and_the_Caribbean,2016,0,0
ethography,32,41,Latin_America_and_the_Caribbean,2016,132,0.310606061
illuminer,1,1,Latin_America_and_the_Caribbean,2016,4,0.25
eunicidae,0,0,Latin_America_and_the_Caribbean,2016,0,0
outcurve,0,0,Latin_America_and_the_Caribbean,2016,1,0
nonreceiving,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Global,2018,0,0
boswell,0,0,Global,2019,0,0
cooperation,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Asia_Pacific,2016,0,0
pseudobulbous,1,1,Latin_America_and_the_Caribbean,2016,1,1
valuables,0,0,Latin_America_and_the_Caribbean,2016,0,0
immenser,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Asia_Pacific,2017,0,0
boswell,0,0,Asia_Pacific,2018,0,0
steri,51,126,Latin_America_and_the_Caribbean,2016,612,0.205882353
harbormaster,0,0,Latin_America_and_the_Caribbean,2016,0,0
myrmecia,0,0,Latin_America_and_the_Caribbean,2016,0,0
brasse,0,0,Latin_America_and_the_Caribbean,2016,0,0
ischocholia,3,3,Latin_America_and_the_Caribbean,2016,20,0.15
phlebenterism,0,0,Latin_America_and_the_Caribbean,2016,0,0
tetrafolious,0,0,Latin_America_and_the_Caribbean,2016,2,0
boswell,0,0,Asia_Pacific,2019,0,0
servile,0,0,Latin_America_and_the_Caribbean,2016,0,0
irresistibleness,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Middle_East_and_North_Africa,2016,0,0
weewee,1,2,Latin_America_and_the_Caribbean,2016,7,0.285714286
salat,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Middle_East_and_North_Africa,2017,0,0
boswell,0,0,Middle_East_and_North_Africa,2018,0,0
ketupa,0,0,Latin_America_and_the_Caribbean,2016,0,0
sanguinicolous,0,0,Latin_America_and_the_Caribbean,2016,0,0
tabebuia,0,0,Latin_America_and_the_Caribbean,2016,0,0
isochronic,2,2,Latin_America_and_the_Caribbean,2016,37,0.054054054
boswell,0,0,Middle_East_and_North_Africa,2019,0,0
cacesthesis,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,US_Canada,2016,1,0
conductus,3,4,Latin_America_and_the_Caribbean,2016,4,1
doubtably,0,0,Latin_America_and_the_Caribbean,2016,0,0
illiterately,0,0,Latin_America_and_the_Caribbean,2016,0,0
semiextinction,1,2,Latin_America_and_the_Caribbean,2016,5,0.4
tusklike,0,0,Latin_America_and_the_Caribbean,2016,0,0
noticer,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,US_Canada,2017,1,0
boswell,0,0,US_Canada,2018,1,0
boswell,1,1,US_Canada,2019,1,1
secondhandedly,52,73,Latin_America_and_the_Caribbean,2016,297,0.245791246
tuple,0,0,Latin_America_and_the_Caribbean,2016,0,0
condoning,0,0,Latin_America_and_the_Caribbean,2016,0,0
revelability,0,0,Latin_America_and_the_Caribbean,2016,0,0
reviolate,0,0,Latin_America_and_the_Caribbean,2016,0,0
indiscretionary,0,0,Latin_America_and_the_Caribbean,2016,0,0
pestle,0,0,Latin_America_and_the_Caribbean,2016,0,0
abrade,0,0,Latin_America_and_the_Caribbean,2016,0,0
courtesying,21,44,Latin_America_and_the_Caribbean,2016,160,0.275
boswell,0,0,Europe,2016,1,0
boswell,0,0,Europe,2017,1,0
tumescence,0,0,Latin_America_and_the_Caribbean,2016,0,0
unexultantly,1,1,Latin_America_and_the_Caribbean,2016,1,1
boswell,0,0,Europe,2018,1,0
boswell,1,1,Europe,2019,1,1
lacers,0,0,Latin_America_and_the_Caribbean,2016,10,0
nonpenitent,0,0,Latin_America_and_the_Caribbean,2016,0,0
muscadels,1,1,Latin_America_and_the_Caribbean,2016,1,1
aspout,0,0,Latin_America_and_the_Caribbean,2016,0,0
dirtier,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Africa,2016,0,0
reapproach,1,2,Latin_America_and_the_Caribbean,2016,5,0.4
overmajority,0,0,Latin_America_and_the_Caribbean,2016,0,0
debbies,0,0,Latin_America_and_the_Caribbean,2016,0,0
palish,0,0,Latin_America_and_the_Caribbean,2016,0,0
rhopalocerous,55,172,Latin_America_and_the_Caribbean,2016,489,0.351738241
kodiak,0,0,Latin_America_and_the_Caribbean,2016,0,0
jacklighter,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Africa,2017,0,0
peacockishness,0,0,Latin_America_and_the_Caribbean,2016,0,0
impermeability,0,0,Latin_America_and_the_Caribbean,2016,0,0
rareripe,0,0,Latin_America_and_the_Caribbean,2016,0,0
subfoliar,0,0,Latin_America_and_the_Caribbean,2016,0,0
transgredient,0,0,Latin_America_and_the_Caribbean,2016,0,0
unendly,0,0,Latin_America_and_the_Caribbean,2016,0,0
setoffs,0,0,Latin_America_and_the_Caribbean,2016,0,0
sulphochloride,0,0,Latin_America_and_the_Caribbean,2016,0,0
salespeople,72,322,Latin_America_and_the_Caribbean,2016,1365,0.235897436
eutectic,31,86,Latin_America_and_the_Caribbean,2016,248,0.346774194
misy,0,0,Latin_America_and_the_Caribbean,2016,0,0
piezometrical,16,25,Latin_America_and_the_Caribbean,2016,104,0.240384615
readjournment,0,0,Latin_America_and_the_Caribbean,2016,0,0
prodigality,0,0,Latin_America_and_the_Caribbean,2016,0,0
hecatic,0,0,Latin_America_and_the_Caribbean,2016,0,0
osteotomist,0,0,Latin_America_and_the_Caribbean,2016,0,0
unleashing,0,0,Latin_America_and_the_Caribbean,2016,0,0
unparaded,0,0,Latin_America_and_the_Caribbean,2016,0,0
answered,0,0,Latin_America_and_the_Caribbean,2016,0,0
trimyristin,0,0,Latin_America_and_the_Caribbean,2016,0,0
sulfurs,149,351,Latin_America_and_the_Caribbean,2016,1400,0.250714286
ommatophorous,30,41,Latin_America_and_the_Caribbean,2016,111,0.369369369
didepside,0,0,Latin_America_and_the_Caribbean,2016,12,0
handmade,0,0,Latin_America_and_the_Caribbean,2016,2,0
haemotoxin,0,0,Latin_America_and_the_Caribbean,2016,2,0
plasmolyzable,0,0,Latin_America_and_the_Caribbean,2016,0,0
aslaver,0,0,Latin_America_and_the_Caribbean,2016,0,0
preferentially,0,0,Latin_America_and_the_Caribbean,2016,0,0
cockshut,0,0,Latin_America_and_the_Caribbean,2016,0,0
unindemnified,0,0,Latin_America_and_the_Caribbean,2016,0,0
freshman,0,0,Latin_America_and_the_Caribbean,2016,0,0
miso,0,0,Latin_America_and_the_Caribbean,2016,0,0
interlocks,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Africa,2018,0,0
boswell,0,0,Africa,2019,0,0
contradebt,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Eurasia,2016,1,0
tomfool,0,0,Latin_America_and_the_Caribbean,2016,0,0
upbelt,32,65,Latin_America_and_the_Caribbean,2016,338,0.192307692
preagriculture,0,0,Latin_America_and_the_Caribbean,2016,0,0
cueman,0,0,Latin_America_and_the_Caribbean,2016,1,0
extorters,0,0,Latin_America_and_the_Caribbean,2016,0,0
desuetudes,0,0,Latin_America_and_the_Caribbean,2016,0,0
torpified,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Eurasia,2017,1,0
soliloquacious,0,0,Latin_America_and_the_Caribbean,2016,9,0
pneumatonomy,0,0,Latin_America_and_the_Caribbean,2016,0,0
glonoine,7,7,Latin_America_and_the_Caribbean,2016,25,0.28
nonslipping,0,0,Latin_America_and_the_Caribbean,2016,0,0
parnassism,0,0,Latin_America_and_the_Caribbean,2016,0,0
boswell,0,0,Eurasia,2018,1,0
backcomb,0,0,Latin_America_and_the_Caribbean,2016,1,0
phanerocodonic,7,8,Latin_America_and_the_Caribbean,2016,28,0.285714286
unvocalised,1,1,Latin_America_and_the_Caribbean,2016,3,0.333333333
deregulates,0,0,Latin_America_and_the_Caribbean,2016,3,0
boswell,1,1,Eurasia,2019,1,1
bemuddy,0,0,Latin_America_and_the_Caribbean,2016,5,0
clodder,0,0,Latin_America_and_the_Caribbean,2016,0,0
fotui,0,0,Latin_America_and_the_Caribbean,2016,0,0
outjetted,0,0,Latin_America_and_the_Caribbean,2016,1,0
cerberean,0,0,Latin_America_and_the_Caribbean,2016,0,0
lithoclast,1,2,Latin_America_and_the_Caribbean,2016,20,0.1
subintelligitur,0,0,Latin_America_and_the_Caribbean,2016,0,0
barcolongo,97,288,Latin_America_and_the_Caribbean,2016,1631,0.176578786
impressionally,1,1,Latin_America_and_the_Caribbean,2016,10,0.1
behemoth,45,78,Latin_America_and_the_Caribbean,2016,262,0.297709924
nasat,10,24,Latin_America_and_the_Caribbean,2016,95,0.252631579
handpick,0,0,Latin_America_and_the_Caribbean,2016,0,0
barcolongo,111,382,Latin_America_and_the_Caribbean,2017,1631,0.23421214
leposternidae,39,82,Latin_America_and_the_Caribbean,2016,305,0.268852459
intermolecular,0,0,Latin_America_and_the_Caribbean,2016,0,0
dulcinist,13,13,Latin_America_and_the_Caribbean,2016,117,0.111111111
sabella,0,0,Latin_America_and_the_Caribbean,2016,1,0
gloggs,0,0,Latin_America_and_the_Caribbean,2016,1,0
barcolongo,118,409,Latin_America_and_the_Caribbean,2018,1631,0.250766401
stibnites,9,13,Latin_America_and_the_Caribbean,2016,102,0.12745098
disembed,0,0,Latin_America_and_the_Caribbean,2016,1,0
barcolongo,150,552,Latin_America_and_the_Caribbean,2019,1631,0.338442673
barcolongo,111,332,Global,2016,1320,0.251515152
refueling,0,0,Latin_America_and_the_Caribbean,2016,0,0
liveborn,0,0,Latin_America_and_the_Caribbean,2016,0,0
swanwort,0,0,Latin_America_and_the_Caribbean,2016,0,0
pappies,0,0,Latin_America_and_the_Caribbean,2016,0,0
fang,0,0,Latin_America_and_the_Caribbean,2016,0,0
nolt,0,0,Latin_America_and_the_Caribbean,2016,1,0
blanker,0,0,Latin_America_and_the_Caribbean,2016,0,0
proposal,0,0,Latin_America_and_the_Caribbean,2016,0,0
stooped,34,64,Latin_America_and_the_Caribbean,2016,216,0.296296296
valiantness,3,6,Latin_America_and_the_Caribbean,2016,21,0.285714286
tonsuring,0,0,Latin_America_and_the_Caribbean,2016,2,0
slaughterous,0,0,Latin_America_and_the_Caribbean,2016,0,0
limace,0,0,Latin_America_and_the_Caribbean,2016,0,0
intricate,0,0,Latin_America_and_the_Caribbean,2016,0,0
pentode,7,9,Latin_America_and_the_Caribbean,2016,41,0.219512195
